FID;Waterbody Name;area_ha;setname;wbrscode;Water body Code;District;state;Basin Code;Sub Basin
847007;Aad;25.05128034;Aad Bk;R03151;Reservoir;Nashik;Maharashtra;West flowing rivers from Tapi to Tadri;Bhatsol and others
846731;Aakammacheru, Jinnaram;19.38910662;Jinnaram;R07140;Reservoir;Sangareddy;Telangana;Godavari;Manjra
848756;Aamli Chharchhoda;24.77758494;Ambli;R04552;Reservoir;Dohad;Gujarat;Mahi;Mahi Upper
846925;Abhalwad;60.82146086;Lor;R04572;Reservoir;Amreli;Gujarat;West flowing rivers of Kutch and Saurashtra including Luni;Shetrunji and other east flowing rivers
848768;Abhanpur;48.08412914;Abhanpur Kh;R06752;Reservoir;Dhule;Maharashtra;Tapi;Tapi Middle
849501;Abhaya Pura;292.91261467;Jalindri;R06006;Reservoir;Bhilwara;Rajasthan;Ganga;Kali Sindh and others up to Confluence with Parbati
848744;Abhlod;2.36979897;Nadhelav;R06611;Reservoir;Dohad;Gujarat;Mahi;Mahi Upper
847868;Abhora;124.51781009;Jinsi;R02738;Reservoir;Jalgaon;Maharashtra;Tapi;Tapi Upper
850265;Achakdani;31.80985266;Achakadani;R03152;Reservoir;Solapur;Maharashtra;Krishna;Bhima Upper
850348;Achler;14.3200495;Achaler;R03153;Reservoir;Osmanabad;Maharashtra;Krishna;Bhima Lower
849804;Adale;20.79328438;Adhale Bk;R03154;Reservoir;Pune;Maharashtra;Krishna;Bhima Upper
848577;Adampura;51.3719501;Jamshedpura;R01458;Reservoir;Khargone;Madhya Pradesh;Narmada;Narmada Middle
846274;Adan;777.20474995;Januna;R03083;Reservoir;Washim;Maharashtra;Godavari;Wardha
847299;Adare;23.71805757;Vehele;R03155;Reservoir;Ratnagiri;Maharashtra;West flowing rivers from Tapi to Tadri;Vasishti and others
849684;Adavinainarkovil Dam;24.7587652;Kadayanallur M;R07561;Reservoir;Tenkasi;Tamil Nadu;East flowing rivers between Pennar and Kanyakumari;Vaippar and others
844556;Adavipalli Reservoir;91.1798024;Theethavagunta Palle;R07471;Reservoir;Chittoor;Andhra Pradesh;Pennar;Pennar Lower
846321;Adegaon;51.56433481;Shivani;R03156;Reservoir;Nagpur;Maharashtra;Godavari;Weinganga
850885;Adeli;27.42977743;Kamblevir;R03157;Reservoir;Sindhudurg;Maharashtra;West flowing rivers from Tapi to Tadri;Vasishti and others
845857;Adgaon;3.01354392;Adgaon;R06815;Reservoir;Aurangabad;Maharashtra;Godavari;Godavari Middle
846636;Adhala;229.44175384;Deothan;R01236;Reservoir;Ahmednagar;Maharashtra;Godavari;Godavari Upper
847155;Adhia Tank;119.69994304;Bhadla;R04580;Reservoir;Rajkot;Gujarat;West flowing rivers of Kutch and Saurashtra including Luni;Saraswati
847256;Adhochhani;76.62688966;Kakadbhit;R04589;Reservoir;Kachchh;Gujarat;West flowing rivers of Kutch and Saurashtra including Luni;Luni Lower
846962;Adhoi-I;25.65513785;Nara;R04616;Reservoir;Kachchh;Gujarat;West flowing rivers of Kutch and Saurashtra including Luni;Drainage of Rann
850982;Adivali;23.90333584;Adivali;R03158;Reservoir;Thane;Maharashtra;West flowing rivers from Tapi to Tadri;Bhatsol and others
848655;Adner;169.28415128;Bansgarh;R01459;Reservoir;Shivpuri;Madhya Pradesh;Ganga;Yamuna Lower
845794;Adol;196.63635929;Shelgaon Khavane;R03159;Reservoir;Washim;Maharashtra;Godavari;Wardha
850649;Adpather Tank;105.14962599;Champa;R00123;Reservoir;Raipur;Chhattisgarh;Mahanadi;Mahanadi Upper
847385;Adpur;12.33583345;Adapur;R04624;Reservoir;Bhavnagar;Gujarat;West flowing rivers of Kutch and Saurashtra including Luni;Shetrunji and other east flowing rivers
846410;Adsulwadi;28.15856611;Adhala;R06996;Reservoir;Osmanabad;Maharashtra;Godavari;Manjra
847067;Advana;60.27822445;Advana;R04632;Reservoir;Porbandar;Gujarat;West flowing rivers of Kutch and Saurashtra including Luni;Bhadar and other west flowing rivers
849413;Adwa Reservoir;1703.15258513;Chatur Bhuja;R00538;Reservoir;Mirzapur;Uttar Pradesh;Ganga;Tons
848590;Agar;6.67316623;Neemkheda;R01460;Reservoir;Dhar;Madhya Pradesh;Narmada;Narmada Middle
848406;Agar Agari;69.11095399;Rampuria;R01461;Reservoir;Rajgarh;Madhya Pradesh;Ganga;Kali Sindh and others up to Confluence with Parbati
849976;Agariya Tank;45.30938702;Paraswara;R00124;Reservoir;Mungeli;Chhattisgarh;Mahanadi;Mahanadi Upper
847727;Agnawati;100.08258765;Nagardeole Bk;R01320;Reservoir;Jalgaon;Maharashtra;Tapi;Tapi Middle
850748;Aheri-Jumbagi;72.32635369;Aheri Bheri;R05454;Reservoir;Vijayapura;Karnataka;Krishna;Bhima Lower
849619;Ahilo;1.17087625;Mahuli;R06705;Reservoir;Singrauli;Madhya Pradesh;Ganga;Sone
848061;Ahirkheda;23.70261972;Dongargaon;R01464;Reservoir;Khargone;Madhya Pradesh;Narmada;Narmada Middle
848491;Ahmadpur Talab;82.39494731;Ahamadpur;R01465;Reservoir;Balaghat;Madhya Pradesh;Narmada;Narmada Upper
849707;Ahraura Reservoir;753.93359339;Chhato;R07585;Reservoir;Mirzapur;Uttar Pradesh;Ganga;Ghaghara Confluence to Gomti confluence
850376;Aigali Reservoir;22.41566657;Telsang;R05456;Reservoir;Belagavi;Karnataka;Krishna;Krishna Upper
849121;Ajabnagar Tank;36.0458971;Ajirma;R00125;Reservoir;Surajpur;Chhattisgarh;Ganga;Sone
848525;Ajang;22.28032894;Satmane;R03161;Reservoir;Nashik;Maharashtra;Tapi;Tapi Middle
849141;Ajan Reservoir;234.14797288;Barhat;R00067;Reservoir;Jamui;Bihar;Ganga;Gandak and others
847703;Ajanta Andheri;129.12594505;Shivna;R01288;Reservoir;Aurangabad;Maharashtra;Tapi;Tapi Middle
847097;Aji-I;735.78892997;Kalipat;R06019;Reservoir;Rajkot;Gujarat;West flowing rivers of Kutch and Saurashtra including Luni;Drainage of Rann
847107;Aji Ii;529.07373325;Gavaridad;R02358;Reservoir;Rajkot;Gujarat;West flowing rivers of Kutch and Saurashtra including Luni;Drainage of Rann
846914;Aji Iii;1373.69995698;Vanpari;R02525;Reservoir;Jamnagar;Gujarat;West flowing rivers of Kutch and Saurashtra including Luni;Drainage of Rann
846982;Aji Iv;1343.45665839;Tarana;R03049;Reservoir;Jamnagar;Gujarat;West flowing rivers of Kutch and Saurashtra including Luni;Drainage of Rann
848749;Ajwa;1496.52784801;Kodarvaya;R04640;Reservoir;Vadodara;Gujarat;Mahi;Mahi Lower
848943;Akasaganga;2.48304061;Tirumala CT;R06535;Reservoir;Chittoor;Andhra Pradesh;East flowing rivers between Pennar and Kanyakumari;Palar and other
848347;Akhajhiri;266.95250548;Kharila;R01472;Reservoir;Shivpuri;Madhya Pradesh;Ganga;Yamuna Lower
846225;Akharga;30.15199641;Akharga;R03162;Reservoir;Nanded;Maharashtra;Godavari;Manjra
848369;Akhetpur;17.5247055;Akhetpur;R01474;Reservoir;Shahdol;Madhya Pradesh;Ganga;Sone
848521;Akkalpada Reservoir;805.9065808;Chinchkhede;R02996;Reservoir;Dhule;Maharashtra;Tapi;Tapi Middle
850708;Akkampally Balancing Reservoir;583.26485189;Pedda Adiserla Palle;R06172;Reservoir;Nalgonda;Telangana;Krishna;Krishna Lower
850541;Akkapalem Tank;46.19712458;Akkapalem;R03225;Reservoir;Krishna;Andhra Pradesh;Krishna;Krishna Lower
849716;Aklera Sagar;370.02459784;Misai;R07594;Reservoir;Baran;Rajasthan;Ganga;Kali Sindh and others up to Confluence with Parbati
848818;Alaganoor Dam;1136.83514323;Vanala;R07787;Reservoir;Kurnool;Andhra Pradesh;Pennar;Pennar Upper
849222;Alagapura  Tank;7.75440708;Bandalli;R06640;Reservoir;Chamarajanagara;Karnataka;Cauvery;Cauvery Middle
849668;Alahalli Kere;61.77014754;Nayakanahalli;R07531;Reservoir;Ramanagara;Karnataka;Cauvery;Cauvery Middle
846642;Aland;26.58662724;Alad;R03164;Reservoir;Aurangabad;Maharashtra;Godavari;Godavari Middle
846063;Alandi;402.61645602;Tilloli;R02807;Reservoir;Nashik;Maharashtra;Godavari;Godavari Upper
846960;Alangun;7.66262376;Alangun;R07083;Reservoir;Nashik;Maharashtra;West flowing rivers from Tapi to Tadri;Bhatsol and others
847426;Alan Sagar Dam;369.75823474;Bakhalvad;R07827;Reservoir;Rajkot;Gujarat;West flowing rivers of Kutch and Saurashtra including Luni;Bhadar and other west flowing rivers
849666;Albur Kere;118.24857956;Albur;R07529;Reservoir;Tumakuru;Karnataka;Cauvery;Cauvery Middle
849844;Alegaonpaga;27.19236513;Alegaon Paga;R03165;Reservoir;Pune;Maharashtra;Krishna;Bhima Upper
849595;Alikuan;48.24600592;Baduapalli;R07126;Reservoir;Ganjam;Odisha;East flowing rivers between Mahanadi and Pennar;Vamsadhara and other
849842;Aliyabad  St;10.85346898;Murta;R07235;Reservoir;Osmanabad;Maharashtra;Krishna;Bhima Lower
846991;Aliyar;658.07600463;Valparai M;R00766;Reservoir;Coimbatore;Tamil Nadu;West flowing rivers from Tadri to Kanyakumari;Varrar and others
849769;Allain Barrage;1.71301326;Data Partially Available;R06639;Reservoir;Kullu;Himachal Pradesh;Indus (Up to border);Beas
850466;Almatti;30161.70478413;Ballur;R04197;Reservoir;Bagalkote;Karnataka;Krishna;Krishna Upper
849510;Alnia;888.75263201;Mandalya;R00010;Reservoir;Kota;Rajasthan;Ganga;Kali Sindh and others up to Confluence with Parbati
850173;Alsund;31.65990874;Khambale Bhalvani;R03167;Reservoir;Sangli;Maharashtra;Krishna;Krishna Upper
848733;Alubani;6.9306067;Reserve Forest;R07422;Reservoir;Mayurbhanj;Odisha;Subernarekha;Subarnarekha
850552;Alur;35.30943999;Alur;R03168;Reservoir;Osmanabad;Maharashtra;Krishna;Bhima Lower
849204;Alur Tank;8.53879846;Muddanahalli;R05460;Reservoir;Mysuru;Karnataka;Cauvery;Cauvery Upper
851093;Alwandi Reservoir;1556.77133529;Take Harsha;R03169;Reservoir;Nashik;Maharashtra;West flowing rivers from Tapi to Tadri;Bhatsol and others
850974;Alyani Dam;5.17241562;Parhe;R03170;Reservoir;Thane;Maharashtra;West flowing rivers from Tapi to Tadri;Bhatsol and others
846724;Amabeda Reservoir;28.97651644;Phuphgaon;R00127;Reservoir;Kanker;Chhattisgarh;Godavari;Indravati
849956;Amachuwa Dam;15.78559842;Khurdur;R00129;Reservoir;Bilaspur;Chhattisgarh;Mahanadi;Mahanadi Upper
845910;Amadapur;4.54646018;Tadpangari;R06901;Reservoir;Parbhani;Maharashtra;Godavari;Godavari Middle
847995;Amadehi;24.97854099;North Denwa R F;R01478;Reservoir;Hoshangabad;Madhya Pradesh;Narmada;Narmada Upper
848673;Amadi;117.88477233;Banhari;R01479;Reservoir;Katni;Madhya Pradesh;Ganga;Sone
848345;Amahi;314.19946313;Dongra Pachhar;R01480;Reservoir;Ashoknagar;Madhya Pradesh;Ganga;Yamuna Lower
849929;Amakhokhra Dam;10.95842638;Amakhokhara;R00476;Reservoir;Korba;Chhattisgarh;Mahanadi;Mahanadi Middle
846151;Amal Nalla;314.35370511;Nokari Kh;R01300;Reservoir;Chandrapur;Maharashtra;Godavari;Wardha
848771;Amalwant;72.737853;Khandibara;R04663;Reservoir;Chhotaudepur;Gujarat;Narmada;Narmada Lower
847969;Ama Nalla (Old);25.2610949;Keolari;R01476;Reservoir;Balaghat;Madhya Pradesh;Narmada;Narmada Upper
848875;Amanpura;10.65857044;Gadiya Khurd;R06723;Reservoir;Rajgarh;Madhya Pradesh;Ganga;Kali Sindh and others up to Confluence with Parbati
849245;Amaravati Reservoir;783.46228035;Anamalai R F;R00394;Reservoir;Tiruppur;Tamil Nadu;Cauvery;Cauvery Middle
850454;Amarja Dam;660.55027613;Shakhapur;R04233;Reservoir;Kalaburagi;Karnataka;Krishna;Bhima Lower
847886;Amarpur;28.28404016;Chaura Ryt;R01483;Reservoir;Dindori;Madhya Pradesh;Narmada;Narmada Upper
848210;Amba;14.79489779;Amba;R01485;Reservoir;Jhabua;Madhya Pradesh;Mahi;Mahi Upper
846540;Amba;30.38802496;Ambala;R03171;Reservoir;Aurangabad;Maharashtra;Godavari;Godavari Upper
848452;Ambabarod;5.41093435;Kandari;R07191;Reservoir;Agar Malwa;Madhya Pradesh;Ganga;Kali Sindh and others up to Confluence with Parbati
845847;Ambad;60.76998256;Ambad;R07236;Reservoir;Nashik;Maharashtra;Godavari;Godavari Upper
851082;Ambadaga Dam;21.6495023;Pala;R07852;Reservoir;Uttara Kannada;Karnataka;West flowing rivers from Tapi to Tadri;Vasishti and others
845734;Ambadi;224.09215224;Upla;R01284;Reservoir;Aurangabad;Maharashtra;Godavari;Godavari Upper
846690;Ambagad;29.61954634;Ambagad;R03173;Reservoir;Bhandara;Maharashtra;Godavari;Weinganga
850912;Ambai;10.8604208;Ambai;R07079;Reservoir;Nashik;Maharashtra;West flowing rivers from Tapi to Tadri;Bhatsol and others
847133;Ambajal;166.96077805;Jambudi;R01781;Reservoir;Junagadh;Gujarat;West flowing rivers of Kutch and Saurashtra including Luni;Bhadar and other west flowing rivers
848000;Ambakhal;23.33105974;Ambakhal;R01488;Reservoir;East Nimar;Madhya Pradesh;Narmada;Narmada Middle
848068;Ambak Nalla;337.81802056;Kharadi Khurd;R01487;Reservoir;Khargone;Madhya Pradesh;Narmada;Narmada Middle
846887;Amba K.T.Weir  (Partur);1.83610726;Babultara;R07694;Reservoir;Jalna;Maharashtra;Godavari;Godavari Middle
847122;Ambakui;92.14660073;Devgam;R04673;Reservoir;Junagadh;Gujarat;West flowing rivers of Kutch and Saurashtra including Luni;Bhadar and other west flowing rivers
847204;Ambala;48.45567601;Ambla;R04677;Reservoir;Bhavnagar;Gujarat;West flowing rivers of Kutch and Saurashtra including Luni;Shetrunji and other east flowing rivers
850438;Ambaligola Reservoir;433.44408246;Gowthampura;R04239;Reservoir;Shivamogga;Karnataka;Krishna;Tungabhadra Upper
847183;Ambani Khodiar;47.65070752;Hathasani;R04686;Reservoir;Amreli;Gujarat;West flowing rivers of Kutch and Saurashtra including Luni;Shetrunji and other east flowing rivers
847369;Ambaradi;62.75940067;Vanthali;R04695;Reservoir;Rajkot;Gujarat;West flowing rivers of Kutch and Saurashtra including Luni;Bhadar and other west flowing rivers
848594;Ambari;38.80483722;Ambari;R01490;Reservoir;Alirajpur;Madhya Pradesh;Narmada;Narmada Lower
