name,university,Uni Classification,State,Pin Code,Year of Formation,longitude,latitude
Abhilashi University,abhilashi university,Private,Himachal Pradesh,175028,2015,77.0354,31.5144
Academy Of Maritime Education And Training,academy of maritime education and training,Deemed,Tamil Nadu,603112,2007,80.2328,12.7642
Acharya Nagarjuna University,acharya nagarjuna university,State,Andhra Pradesh,522510,1976,80.5468,16.4571
Acharya Ng Ranga Agricultural University,acharya ng ranga agricultural university,State,Telangana,500030,1964,78.3935,17.3354
Adamas University,adamas university,Private,West Bengal,700126,2014,88.4379,22.7423
Adesh University,adesh university,Private,Punjab,151101,2012,75.0837,30.1845
Adikavi Nannaya University,adikavi nannaya university,State,Andhra Pradesh,533105,2006,81.8327,16.9883
Ahmedabad University,ahmedabad university,Private,Gujarat,380009,2009,72.5542,23.037
Aisect University,aisect university,Private,Madhya Pradesh,464993,2010,77.5823,23.0273
Ajeenkya D Y Patil University,ajeenkya d y patil university,Private,Maharashtra,412105,2002,74.1405,18.6132
AKS University,aks university,Private,Madhya Pradesh,485001,2011,80.7918,24.4337
Alagappa University,alagappa university,State,Tamil Nadu,630003,1985,78.8022,10.0759
Al-Falah University,al-falah university,Private,Haryana,121004,2014,77.4258,28.2539
Aliah University,aliah university,State,West Bengal,700091,2007,88.4257,22.5814
Aligarh Muslim University,aligarh muslim university,Central,Uttar Pradesh,202002,1920,78.0508,27.8295
Alliance University,alliance university,Private,Karnataka,562106,2010,77.6157,12.7733
Amity University,amity university,Private,Maharashtra,410206,2014,81.9393,21.3905
Amity University,amity university,Private,Chhattisgarh,493225,2014,78.2156,26.2401
Amity University,amity university,Private,Madhya Pradesh,474005,2010,77.3465,28.5498
Amity University,amity university,Private,Rajasthan,303007,2008,76.9135,28.3188
Amity University,amity university,Private,Haryana,122413,2010,75.6184,26.7522
Amity University,amity university,Private,Uttar Pradesh,201303,2005,73.1217,18.9552
Amrita Vishwa Vidyapeetham,amrita vishwa vidyapeetham,Deemed,Tamil Nadu,641105,2003,76.9157,10.8351
Anand Agricultural University,anand agricultural university,State,Gujarat,388110,2004,72.9812,22.5143
Andhra University,andhra university,State,Andhra Pradesh,530003,1926,83.3222,17.7188
Anna University,anna university,State,Tamil Nadu,600025,1978,80.2363,13.011
Annamalai University,annamalai university,State,Tamil Nadu,608002,1929,79.7528,11.4106
Ansal University,ansal university,Private,Haryana,122003,2012,77.0593,28.4472
Apeejay Stya University,apeejay stya university,Private,Haryana,122103,2010,77.1087,28.2243
Apex Professional University,apex professional university,Private,Arunachal Pradesh,791102,2013,95.1878,27.9908
APG (Alakh Prakash Goyal) University,apg (alakh prakash goyal) university,Private,Himachal Pradesh,171009,2012,77.192,31.053
Arni University,arni university,Private,Himachal Pradesh,176401,2009,75.7195,32.11
Arunachal University of Studies,arunachal university of studies,Private,Arunachal Pradesh,792103,2012,96.2334,28.0594
Arunodaya University,arunodaya university,Private,Arunachal Pradesh,791109,2014,93.74,27.1246
Aryabhatta Knowledge University,aryabhatta knowledge university,State,Bihar,800001,2008,85.1337,25.6111
Ashoka University,ashoka university,Private,Haryana,131028,2014,77.1566,28.8688
Assam Agricultural University,assam agricultural university,State,Assam,785013,1968,94.2308,26.6792
Assam Don Bosco University,assam don bosco university,Private,Assam,781017,2009,91.5742,26.1507
Assam Down Town University,assam down town university,Private,Assam,781036,2010,91.8059,26.1504
Assam Rajiv Gandhi University of Co-operative Management,assam rajiv gandhi university of co-operative management,State,Assam,785640,2010,94.6343,27.0121
Assam Science & Technology University,assam science & technology university,State,Assam,781019,2011,91.761,26.1508
Assam University,assam university,Central,Assam,788011,1994,92.6883,24.803
Assam Women�S University,assam women�s university,State,Assam,785004,2013,94.1877,26.6814
Atal Bihari Vajpai Hindi Vishwavidyalaya,atal bihari vajpai hindi vishwavidyalaya,State,Madhya Pradesh,462016,2011,77.4285,23.2111
AURO University of Hospitality and Management,auro university of hospitality and management,Private,Gujarat,394510,2011,72.6674,21.1869
Avinashilingam Institute For Home Science & Higher Education For Women,avinashilingam institute for home science & higher education for women,Deemed,Tamil Nadu,641043,1988,76.9549,11.021
Awadesh Pratap Singh University,awadesh pratap singh university,State,Madhya Pradesh,486003,1968,81.3397,24.5679
Ayush And Health Science University,ayush and health science university,State,Chhattisgarh,492001,2008,81.6356,21.148
Azim Premji University,azim premji university,Private,Karnataka,560100,2010,77.6638,12.8503
Baba Farid University of Health Sciences,baba farid university of health sciences,State,Punjab,151203,2002,74.733,30.7011
Baba Ghulam Shah Badshah University,baba ghulam shah badshah university,State,Jammu & Kashmir,185131,2005,74.272,33.3836
Baba Mast Nath University,baba mast nath university,Private,Haryana,124021,2012,76.6462,28.8647
Babasaheb Bhimrao Ambedkar Bihar University,babasaheb bhimrao ambedkar bihar university,State,Bihar,842001,1952,85.4042,26.1254
Babasaheb Bhimrao Ambedkar University,babasaheb bhimrao ambedkar university,Central,Uttar Pradesh,226025,1996,80.9376,26.766
Babu Banarasi Das University,babu banarasi das university,Private,Uttar Pradesh,226028,2010,81.0592,26.8872
Baddi University of Emerging Sciences & Technology,baddi university of emerging sciences & technology,Private,Himachal Pradesh,173205,2009,76.7619,30.9653
Bahra University,bahra university,Private,Himachal Pradesh,173234,2011,77.0895,31.0036
Banaras Hindu University,banaras hindu university,Central,Uttar Pradesh,221005,1916,82.9918,25.2668
Banasthai Vidyapith,banasthai vidyapith,Deemed,Rajasthan,304022,1983,75.8391,26.5032
Bangalore University,bangalore university,State,Karnataka,560056,1964,77.483,12.9441
Barkatullah University,barkatullah university,State,Madhya Pradesh,462026,1970,77.4534,23.2122
Bastar Vishwavidyalaya,bastar vishwavidyalaya,State,Chhattisgarh,494005,2008,81.8902,19.0952
Berhampur University,berhampur university,State,Odisha,760007,1967,84.878,19.3174
Bhagat Phool Singh Mahila Vishwavidyalaya,bhagat phool singh mahila vishwavidyalaya,State,Haryana,131305,2006,76.8038,29.1532
