osmid,name,area,distance,water,university,centroid_long,centroid_lat
277584,Dhom reservoir,12902090.118495416,79414.96295395005,reservoir,Ajeenkya D Y Patil University,73.788665918166,17.979079110793748
278303,Pimpalgaon Joga Reservoir,21544645.45829165,86045.5846751284,reservoir,Amity University,73.838884246856,19.329036562607882
278467,Yedgaon Reservoir,8330739.722852452,64936.430139969045,reservoir,Ajeenkya D Y Patil University,73.99128224793677,19.182564635767587
311633,Vihar Lake,4768830.130727211,31244.525995668726,reservoir,Amity University,72.91102906422024,19.15399586718384
332072,Maharana Pratap Reservoir,232622475.6081592,34042.231935133444,reservoir,Arni University,76.05455293969767,31.996503961073472
357472,Jalaput Reservoir,82112140.78956616,107375.8059374187,reservoir,Andhra University,82.59608142416981,18.39592620140471
1579454,Yeleru Reservoir,47535801.57975616,44401.00678283115,reservoir,Adikavi Nannaya University,82.06348580602044,17.322695232505996
1597740,,8058648.991981849,64958.481311292904,reservoir,Aliah University,87.79446779315616,22.607969708784665
1601368,Gobind Sagar,128878017.97585098,48946.63858861128,reservoir,Abhilashi University,76.54295053297236,31.385295002460893
1606905,Shabd Lake,974131.6993290164,35061.56972186247,lake,Acharya Ng Ranga Agricultural University,78.12125595719915,17.157075082898547
1608747,Thatipudi Reservoir,9981767.426144067,54149.39167567542,reservoir,Andhra University,83.1851859640548,18.18998629333628
1616059,,1040060.478696652,77992.42465036757,lake,Alliance University,78.15069719511686,12.304283361314345
1623305,,1246895.3922580783,74127.27113980326,reservoir,Anna University,79.55484324944139,12.960417576361035
1624070,Pulicat Lake,560535302.2252151,69036.56640057202,lake,Anna University,80.16097958356342,13.630830831772233
1625556,Kondakarla Ava,1974010.3615410235,36348.96869558803,lake,Andhra University,83.00150436274185,17.603546953692685
1765313,Keetham Lake,1738397.5696580696,67224.33133086779,lake,Aligarh Muslim University,77.84193835262383,27.25258263276392
1846716,,2556333.707839233,69206.75522486414,reservoir,Awadesh Pratap Singh University,81.0324949812494,25.126538822929433
1866836,,6576753.931052188,39834.948658200854,reservoir,Amity University,77.8172109856372,26.244937507199914
1894403,Pavana Lake,23478358.975845285,48747.79631054012,reservoir,Amity University,73.47068463176537,18.666231530680545
1898752,Mulshi Lake,37616829.32482184,58773.195975788745,reservoir,Amity University,73.46031415346859,18.53345534171871
1929498,,8202942.000868592,50954.39451812036,reservoir,Acharya Ng Ranga Agricultural University,78.0587693663683,17.664815597275282
1945995,Tighra Dam,13388237.499507565,23273.13620633513,reservoir,Amity University,77.98491197070173,26.212170264068305
2252564,Man Sagar,1091206.0991182984,32199.39408824866,lake,Amity University,75.84951024624827,26.956006970581853
2810519,Indira Sagar,701878665.7108058,131506.80182962643,reservoir,Aisect University,76.66924078723258,22.195976318821813
2833155,Hussain Sagar,4541932.56408384,13038.781643135646,lake,Acharya Ng Ranga Agricultural University,78.47421556683886,17.4240495749166
3339054,Baravi Lake,16810533.752828605,37302.54454046831,reservoir,Amity University,73.37135972025337,19.194391941785483
3436455,Nira Deoghar,13161185.60051095,74570.25204962828,reservoir,Ajeenkya D Y Patil University,73.68976014957913,18.094680964655133
5307294,,14666592.09616388,45803.58355476693,reservoir,Awadesh Pratap Singh University,81.57214384903854,24.213200680945477
5411363,Himayat Sagar,14869243.086989881,4929.035718745304,lake,Acharya Ng Ranga Agricultural University,78.35353829974278,17.3128601804119
5414768,Upper Lake,25047905.11819736,9787.585718636059,lake,Atal Bihari Vajpai Hindi Vishwavidyalaya,77.34203974374758,23.24879453088953
5485416,Peechi Reservoir,7356858.131095834,66238.65757392884,reservoir,Amrita Vishwa Vidyapeetham,76.3934937254135,10.532060987048043
5855859,Andra Dam,5920595.223694254,55067.713638726134,reservoir,Amity University,73.62266828367319,18.813366782120728
5859718,Bhama Askhed Reservoir,15277755.098949526,56054.4549032367,reservoir,Ajeenkya D Y Patil University,73.68029080513541,18.866856152220524
5923218,Andhra Lake,24986024.813995935,42508.81126797196,lake,Amity University,73.52122531152175,18.90106402589063
6743775,Singanallur Lake,984807.0865475602,8100.638579056228,lake,Avinashilingam Institute For Home Science & Higher Education For Women,77.02232227656975,10.990603936989087
7112404,Bhatsa Reservoir,22354030.14022966,72231.66907421633,reservoir,Amity University,73.43888490680898,19.53402031411047
7120639,,1967291.75207545,94369.18451134526,reservoir,Awadesh Pratap Singh University,80.67073502200658,25.162777227112855
7323730,Umiam Lake,7644446.402644069,55734.92064928562,lake,Assam Down Town University,91.87993145794594,25.651672784151003
7615092,,1632140.2495487307,57845.69415213734,reservoir,Amrita Vishwa Vidyapeetham,76.89524295287949,10.31260209943873
7876724,Singur Lake,133245896.3946643,78458.94050153093,reservoir,Acharya Ng Ranga Agricultural University,77.86234930210446,17.827607943833094
7891400,,1185221.7749376292,93601.66616374938,reservoir,Acharya Nagarjuna University,79.92309337586006,17.05268779495352
7891933,Jalleru Jalasayamu,1086038.108974717,61169.89501973853,reservoir,Adikavi Nannaya University,81.35049235566734,17.289563461276266
7896716,,3602150.2940421044,85922.32561276449,reservoir,Ajeenkya D Y Patil University,73.69624579403227,17.96296011246407
7896818,,3117786.0959889255,51747.82879342784,reservoir,Avinashilingam Institute For Home Science & Higher Education For Women,76.54282761282892,11.251719928557325
7897624,Avalanchi reservoir,7522836.526227967,51188.22991886815,reservoir,Avinashilingam Institute For Home Science & Higher Education For Women,76.60739005163369,11.331443020377064
