osmid,day,exists_true_image,total_pixel_count,water_pixels,cloud_pixels,water_with_no_clouds_pixels,chl_very_low_pixels,chl_low_pixels,chl_moderate_pixels,chl_high_pixels,chl_very_high_pixels,chl_very_low_area,chl_low_area,chl_moderate_area,chl_high_area,chl_very_high_area,is_valid,total_pixel_area,mci,mci_2
277584,2024-01-04,True,513799,513061.0,38494.0,477782.0,26.0,42.0,0.0,4.0,0.0,650.0,1050.0,0.0,100.0,0.0,True,,315.0,35.5
277584,2024-02-13,True,513799,514922.0,0.0,514922.0,1035.0,13.0,0.0,0.0,0.0,25875.0,325.0,0.0,0.0,0.0,True,,2652.5,265.25
277584,2024-03-24,True,513799,513157.0,0.0,513157.0,18008.0,2139.0,0.0,0.0,0.0,450200.0,53475.0,0.0,0.0,0.0,True,,55715.0,5571.5
277584,2024-05-03,True,513799,510280.0,0.0,510280.0,1381.0,212.0,0.0,0.0,0.0,34525.0,5300.0,0.0,0.0,0.0,True,,4512.5,451.25
277584,2024-06-12,True,513799,456713.0,450016.0,66928.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
277584,2024-07-22,True,513799,0.0,519975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
277584,2024-08-31,True,513799,313953.0,519975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
278303,2024-01-04,True,864677,863270.0,0.0,863270.0,66739.0,78298.0,0.0,0.0,0.0,1668475.0,1957450.0,0.0,0.0,0.0,True,,558337.5,55833.75
278303,2024-02-13,True,864677,855199.0,0.0,855199.0,476.0,634.0,0.0,0.0,0.0,11900.0,15850.0,0.0,0.0,0.0,True,,4360.0,436.0
278303,2024-03-24,True,864677,850268.0,0.0,850268.0,6238.0,4504.0,0.0,0.0,0.0,155950.0,112600.0,0.0,0.0,0.0,True,,38115.0,3811.5
278303,2024-05-03,True,864677,815220.0,0.0,815220.0,866.0,573.0,0.0,0.0,0.0,21650.0,14325.0,0.0,0.0,0.0,True,,5030.0,503.0
278303,2024-06-12,True,864677,711297.0,598410.0,210940.0,337.0,2623.0,1792.0,288.0,4.0,8425.0,65575.0,44800.0,7200.0,100.0,False,,30327.5,3779.75
278303,2024-07-22,True,864677,369769.0,871153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
278303,2024-08-31,True,864677,360258.0,871153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
278467,2024-01-04,True,333829,291275.0,116207.0,227352.0,6378.0,176285.0,0.0,0.0,0.0,159450.0,4407125.0,0.0,0.0,0.0,False,,897370.0,89737.0
278467,2024-02-13,True,333829,322334.0,0.0,322334.0,63592.0,75619.0,0.0,0.0,0.0,1589800.0,1890475.0,0.0,0.0,0.0,True,,537075.0,53707.5
278467,2024-03-24,True,333829,297296.0,215614.0,114418.0,23754.0,31021.0,0.0,0.0,0.0,593850.0,775525.0,0.0,0.0,0.0,False,,214490.0,21449.0
278467,2024-05-03,True,333829,237236.0,0.0,237236.0,74324.0,36204.0,48.0,4.0,0.0,1858100.0,905100.0,1200.0,100.0,0.0,True,,367230.0,36739.0
278467,2024-06-12,True,333829,312468.0,76648.0,253172.0,185.0,78706.0,2101.0,4.0,0.0,4625.0,1967650.0,52525.0,100.0,0.0,False,,409790.0,41508.25
278467,2024-07-22,True,333829,0.0,344671.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
278467,2024-08-31,True,333829,190118.0,340397.0,4274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
311633,2024-01-02,True,196032,175026.0,0.0,175026.0,0.0,394.0,0.0,0.0,0.0,0.0,9850.0,0.0,0.0,0.0,True,,1970.0,197.0
311633,2024-02-11,True,196032,172445.0,0.0,172445.0,937.0,597.0,4.0,0.0,0.0,23425.0,14925.0,100.0,0.0,0.0,True,,5357.5,536.75
311633,2024-03-22,True,196032,167105.0,0.0,167105.0,110.0,17493.0,55.0,0.0,0.0,2750.0,437325.0,1375.0,0.0,0.0,True,,88152.5,8829.0
311633,2024-05-01,True,196032,157733.0,0.0,157733.0,744.0,19823.0,21234.0,267.0,0.0,18600.0,495575.0,530850.0,6675.0,0.0,True,,262900.0,31865.5
311633,2024-06-10,True,196032,194499.0,197726.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0
