osmid,name,area,distance,water,university,centroid_long,centroid_lat,pixel_count,total_pixel_area,resolution
332072,Maharana Pratap Reservoir,232622475.6081592,34042.231935133444,reservoir,Arni University,76.05455293969767,31.996503961073472,1039287,233839575,15
357472,Jalaput Reservoir,82112140.78956616,107375.8059374187,reservoir,Andhra University,82.59608142416981,18.39592620140471,878103,87810300,10
1579454,Yeleru Reservoir,47535801.57975616,44401.00678283115,reservoir,Adikavi Nannaya University,82.06348580602044,17.322695232505996,1916439,47910975,5
1601368,Gobind Sagar,128878017.97585098,48946.63858861128,reservoir,Abhilashi University,76.54295053297236,31.385295002460893,324139,129655600,20
1606905,Shabd Lake,974131.6993290164,35061.56972186247,lake,Acharya Ng Ranga Agricultural University,78.12125595719915,17.157075082898547,39118,977950,5
1624070,Pulicat Lake,560535302.2252151,69036.56640057202,lake,Anna University,80.16097958356342,13.630830831772233,1053149,658218125,25
2810519,Indira Sagar,701878665.7108058,131506.80182962643,reservoir,Aisect University,76.66924078723258,22.195976318821813,1144148,715092500,25
6743775,Singanallur Lake,984807.0865475602,8100.638579056228,lake,Avinashilingam Institute For Home Science & Higher Education For Women,77.02232227656975,10.990603936989087,39711,992775,5
7876724,Singur Lake,133245896.3946643,78458.94050153093,reservoir,Acharya Ng Ranga Agricultural University,77.86234930210446,17.827607943833094,598628,134691300,15
8026438,Panam Reservoir,55535655.944547005,98341.0468397178,reservoir,Anand Agricultural University,73.76598948338761,23.02323418332332,583661,58366100,10
8421510,Sukhna Lake,1362619.4655139486,49586.852110600215,lake,APG (Alakh Prakash Goyal) University,76.81995753813878,30.741407877314582,55657,1391425,5
16288976,Ban Sagar Lake,296463233.4957706,46613.07091481066,lake,AKS University,81.0500041553681,24.08554673406209,481959,301224375,25
24711461,Ukkadam Lake,1271579.575790766,4261.0014674287695,lake,Avinashilingam Institute For Home Science & Higher Education For Women,76.95504763291736,10.982485510361032,51039,1275975,5
25394523,Sholavaram Lake,6148573.632628919,25446.31035174072,reservoir,Anna University,80.14304744123292,13.222146140532637,246155,6153875,5
25474612,Korattur Lake,1956296.6133445145,13740.173181988972,lake,Anna University,80.18146923602292,13.123006166611198,78088,1952200,5
29894997,Kurichi Kulam,1288804.597564116,6113.885411956625,pond,Avinashilingam Institute For Home Science & Higher Education For Women,76.96361560527129,10.966412348986111,51765,1294125,5
34108030,Marakkanam Lake,23105281.117854007,66311.407217614,lake,Academy Of Maritime Education And Training,79.95630077761302,12.229698197801932,923189,23079725,5
41667728,Hosakote lake,7642900.298858155,28608.219188621155,lake,Azim Premji University,77.76662279551329,13.088231687218816,298650,7466250,5
58680339,Tawa Reservoir,37970866.62692234,73757.68770684036,reservoir,Aisect University,78.09909862125663,22.565311432334163,361487,36148700,10
92001285,Meghadri Reservoir,7325989.491739335,16276.3880411499,reservoir,Andhra University,83.18146201064765,17.777339439651524,291566,7289150,5
115769453,Pedda Vagu Reservoir,2673053.0955180083,85589.54291779977,reservoir,Adikavi Nannaya University,81.16327247893501,17.41789282259894,106988,2674700,5
117699391,Wellington Lake,15716289.74167697,73089.17940327429,reservoir,Annamalai University,79.08336298165034,11.431255443573605,625503,15637575,5
137356318,Malharsagar,2185987.480921686,34806.24337707508,lake,Ajeenkya D Y Patil University,74.18251995746127,18.3012108836628,87491,2187275,5
156782315,Kazhuveli Eri,72960733.77909967,78079.85955824758,lake,Annamalai University,79.85176033434549,12.109803005336094,729241,72924100,10
171201578,madhira lake,934793.273351602,54825.181541146754,lake,Acharya Nagarjuna University,80.3761408260112,16.92459914290696,37404,935100,5
